conv_id,Original_Labels,Top_3_Emotion_Pred,1st_Emotion_Pred,2nd_Emotion_Pred,3rd_Emotion_Pred,Pred_Emo_Position
hit:2931_conv:5863,grateful,"['grateful', 'thankful', 'content']",grateful,thankful,content,1.0
hit:9770_conv:19540,surprised,"['happy', 'content', 'grateful']",happy,content,grateful,
hit:6662_conv:13324,anxious,"['anxious', ' hopeful', ' hesitant']",anxious,hopeful,hesitant,1.0
hit:7741_conv:15482,afraid,"['grateful', ' afraid', ' relieved']",grateful,afraid,relieved,2.0
hit:3963_conv:7926,jealous,"['envious', ' wistful', ' nostalgic']",envious,wistful,nostalgic,
hit:787_conv:1575,furious,"['frustrated', 'sad', 'disappointed']",frustrated,sad,disappointed,
hit:1314_conv:2628,joyful,"['excited', 'happy', 'anxious']",excited,happy,anxious,
hit:9466_conv:18933,annoyed,"['annoyed', 'sad', 'frustrated']",annoyed,sad,frustrated,1.0
hit:1538_conv:3076,anxious,"['anxious', 'relieved', 'hopeful']",anxious,relieved,hopeful,1.0
hit:2442_conv:4884,content,"['happy', 'excited', 'content']",happy,excited,content,3.0
hit:5524_conv:11048,lonely,"['lonely', ' sad', ' sympathetic']",lonely,sad,sympathetic,1.0
hit:9785_conv:19571,jealous,"['anxious', 'annoyed', 'uncomfortable']",anxious,annoyed,uncomfortable,
hit:9806_conv:19612,joyful,"['excited', 'confused', 'amused']",excited,confused,amused,
hit:9996_conv:19992,excited,"['excited', 'hopeful', 'amused']",excited,hopeful,amused,1.0
hit:10535_conv:21070,trusting,"['proud', ' grateful', ' tired']",proud,grateful,tired,
hit:358_conv:717,angry,"['annoyed', 'frustrated', 'disgusted']",annoyed,frustrated,disgusted,
hit:7816_conv:15632,devastated,"['worried', 'sad', 'angry']",worried,sad,angry,
hit:9412_conv:18824,annoyed,"['angry', 'sad', 'frustrated']",angry,sad,frustrated,
hit:2110_conv:4221,annoyed,"['annoyed', ' disappointed', ' frustrated']",annoyed,disappointed,frustrated,1.0
hit:9826_conv:19652,afraid,"['anxious', 'nervous', 'afraid']",anxious,nervous,afraid,3.0
hit:3848_conv:7696,embarrassed,"['anxious', ' hopeful', ' worried']",anxious,hopeful,worried,
hit:5116_conv:10233,caring,"['concerned', 'sympathetic', 'proud']",concerned,sympathetic,proud,
hit:5777_conv:11555,afraid,"['afraid', 'anxious', 'concerned']",afraid,anxious,concerned,1.0
hit:10471_conv:20942,apprehensive,"['nervous', 'anxious', 'glad']",nervous,anxious,glad,
hit:11240_conv:22480,disappointed,"['disappointed', 'sad', 'frustrated']",disappointed,sad,frustrated,1.0
hit:12088_conv:24177,annoyed,"['annoyed', 'frustrated', 'confused']",annoyed,frustrated,confused,1.0
hit:9264_conv:18529,surprised,"['terrified', ' shocked', ' afraid']",terrified,shocked,afraid,
hit:11294_conv:22588,anxious,"['excited', ' relieved', ' grateful']",excited,relieved,grateful,
hit:9726_conv:19452,furious,"['angry', ' annoyed', ' frustrated']",angry,annoyed,frustrated,
hit:4547_conv:9094,excited,"['excited', ' hopeful', ' relieved']",excited,hopeful,relieved,1.0
hit:6505_conv:13011,apprehensive,"['skeptical', ' cautious', ' doubtful']",skeptical,cautious,doubtful,
hit:7018_conv:14036,prepared,"['excited', ' happy', ' hopeful']",excited,happy,hopeful,
hit:11569_conv:23138,embarrassed,"['frustrated', 'surprised', 'relieved']",frustrated,surprised,relieved,
hit:6603_conv:13207,annoyed,"['angry', 'frustrated', 'annoyed']",angry,frustrated,annoyed,3.0
hit:10615_conv:21230,sentimental,"['devastated', ' sad', ' sympathetic']",devastated,sad,sympathetic,
hit:1435_conv:2871,prepared,"['embarrassed', 'anxious', 'worried']",embarrassed,anxious,worried,
hit:8180_conv:16360,devastated,"['devastated', 'sad', 'frustrated']",devastated,sad,frustrated,1.0
hit:11617_conv:23234,devastated,"['worried', 'disappointed', 'anxious']",worried,disappointed,anxious,
hit:5922_conv:11844,anticipating,"['excited', ' anticipating', ' curious']",excited,anticipating,curious,2.0
hit:10899_conv:21798,excited,"['excited', ' hopeful', ' overwhelmed']",excited,hopeful,overwhelmed,1.0
hit:11051_conv:22103,ashamed,"['guilty', ' upset', ' empathetic']",guilty,upset,empathetic,
hit:342_conv:685,ashamed,"['disappointed', 'frustrated', 'hopeful']",disappointed,frustrated,hopeful,
hit:6125_conv:12250,terrified,"['relieved', 'hopeful', 'grateful']",relieved,hopeful,grateful,
hit:3205_conv:6411,joyful,"['happy', 'content', 'excited']",happy,content,excited,
hit:3628_conv:7256,sad,"['sad', 'surprised', 'concerned']",sad,surprised,concerned,1.0
hit:5543_conv:11087,caring,"['content', 'peaceful', 'happy']",content,peaceful,happy,
hit:3303_conv:6607,surprised,"['surprised', ' grateful', ' happy']",surprised,grateful,happy,1.0
hit:4400_conv:8800,proud,"['excited', ' joyful', ' amused']",excited,joyful,amused,
hit:10552_conv:21104,apprehensive,"['afraid', 'anxious', 'relieved']",afraid,anxious,relieved,
hit:7976_conv:15953,embarrassed,"['embarrassed', 'relieved', 'amused']",embarrassed,relieved,amused,1.0
hit:876_conv:1752,angry,"['angry', 'sad', 'frustrated']",angry,sad,frustrated,1.0
hit:2848_conv:5697,embarrassed,"['embarrassed', 'surprised', 'awkward']",embarrassed,surprised,awkward,1.0
hit:3540_conv:7080,jealous,"['jealous', ' envious', ' insecure']",jealous,envious,insecure,1.0
hit:11957_conv:23914,furious,"['angry', ' worried', ' annoyed']",angry,worried,annoyed,
hit:4564_conv:9128,proud,"['proud', 'happy', 'impressed']",proud,happy,impressed,1.0
hit:1394_conv:2789,anticipating,"['anxious', 'afraid', 'relieved']",anxious,afraid,relieved,
