conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:0_conv:1,sentimental,"['sad', ' nostalgic', ' lonely']",sad,
hit:11801_conv:23602,anxious,"['anxious', 'afraid', 'hopeful']",anxious,1.0
hit:2931_conv:5863,grateful,"['grateful', 'thankful', 'content']",grateful,1.0
hit:6510_conv:13021,embarrassed,"['embarrassed', ' hopeful', ' nostalgic']",embarrassed,1.0
hit:6900_conv:13800,anticipating,"['excited', 'hopeful', 'proud']",excited,
hit:8905_conv:17810,anticipating,"['annoyed', 'anxious', 'hopeful']",annoyed,
hit:9770_conv:19540,surprised,"['happy', 'content', 'grateful']",happy,
hit:10014_conv:20028,disappointed,"['disappointed', 'anxious', 'sad']",disappointed,1.0
hit:5974_conv:11948,anticipating,"['hopeful', 'excited', 'anxious']",hopeful,
hit:6662_conv:13324,anxious,"['anxious', ' hopeful', ' hesitant']",anxious,1.0
hit:7741_conv:15482,afraid,"['grateful', ' afraid', ' relieved']",grateful,2.0
hit:7790_conv:15581,anxious,"['anxious', 'hopeful', 'afraid']",anxious,1.0
hit:8649_conv:17299,disgusted,"['disgusted', ' hopeful', ' embarrassed']",disgusted,1.0
hit:9190_conv:18381,embarrassed,"['embarrassed', 'surprised', 'anxious']",embarrassed,1.0
hit:9838_conv:19677,disgusted,"['angry', ' disgusted', ' content']",angry,2.0
hit:3963_conv:7926,jealous,"['envious', ' wistful', ' nostalgic']",envious,
hit:5223_conv:10447,proud,"['proud', ' grateful', ' joyful']",proud,1.0
hit:6922_conv:13844,terrified,"['afraid', 'terrified', 'angry']",afraid,2.0
hit:7359_conv:14719,disgusted,"['anxious', ' proud', ' grateful']",anxious,
hit:7790_conv:15581,anxious,"['anxious', 'hopeful', 'frustrated']",anxious,1.0
hit:787_conv:1575,furious,"['frustrated', 'sad', 'disappointed']",frustrated,
hit:9924_conv:19849,terrified,"['afraid', 'anxious', 'surprised']",afraid,
hit:10901_conv:21803,nostalgic,"['nostalgic', 'content', 'hopeful']",nostalgic,1.0
hit:11817_conv:23634,sad,"['sad', ' disappointed', ' nostalgic']",sad,1.0
hit:1314_conv:2628,joyful,"['excited', 'happy', 'anxious']",excited,
hit:2724_conv:5449,apprehensive,"['disappointed', 'sad', 'anxious']",disappointed,
hit:7524_conv:15049,hopeful,"['hopeful', 'excited', 'sad']",hopeful,1.0
hit:8696_conv:17392,nostalgic,"['nostalgic', ' content', ' annoyed']",nostalgic,1.0
hit:9466_conv:18933,annoyed,"['annoyed', 'sad', 'frustrated']",annoyed,1.0
hit:9924_conv:19849,terrified,"['anxious', ' afraid', ' surprised']",anxious,
hit:10901_conv:21803,nostalgic,"['curious', ' contemplative', ' empathetic']",curious,
hit:11119_conv:22238,trusting,"['trusting', 'sentimental', 'anxious']",trusting,1.0
hit:12276_conv:24552,afraid,"['afraid', 'terrified', 'anxious']",afraid,1.0
hit:1487_conv:2974,grateful,"['grateful', 'excited', 'content']",grateful,1.0
hit:1538_conv:3076,anxious,"['anxious', 'relieved', 'hopeful']",anxious,1.0
hit:2442_conv:4884,content,"['happy', 'excited', 'content']",happy,3.0
hit:4573_conv:9146,surprised,"['surprised', 'excited', 'grateful']",surprised,1.0
hit:4955_conv:9910,hopeful,"['anxious', ' terrified', ' hopeful']",anxious,3.0
hit:2365_conv:4731,confident,"['excited', ' hopeful', ' proud']",excited,
hit:3749_conv:7499,lonely,"['lonely', ' hopeful', ' disappointed']",lonely,1.0
hit:5524_conv:11048,lonely,"['lonely', ' sad', ' sympathetic']",lonely,1.0
hit:7252_conv:14504,joyful,"['excited', 'hopeful', 'anxious']",excited,
hit:7548_conv:15096,guilty,"['ashamed', 'sad', 'hopeful']",ashamed,
hit:9785_conv:19571,jealous,"['anxious', 'annoyed', 'uncomfortable']",anxious,
hit:9806_conv:19612,joyful,"['excited', 'confused', 'amused']",excited,
hit:9996_conv:19992,excited,"['excited', 'hopeful', 'amused']",excited,1.0
hit:10535_conv:21070,trusting,"['proud', ' grateful', ' tired']",proud,
hit:10548_conv:21097,faithful,"['hopeful', ' excited', ' proud']",hopeful,
hit:11471_conv:22943,jealous,"['disappointed', 'hopeful', 'confident']",disappointed,
hit:1675_conv:3350,embarrassed,"['embarrassed', 'anxious', 'anticipating']",embarrassed,1.0
hit:358_conv:717,angry,"['annoyed', 'frustrated', 'disgusted']",annoyed,
hit:5524_conv:11048,lonely,"['lonely', 'sad', 'hopeful']",lonely,1.0
hit:6526_conv:13053,surprised,"['disappointed', 'surprised', 'sad']",disappointed,2.0
hit:7580_conv:15161,proud,"['excited', 'content', 'hopeful']",excited,
hit:10535_conv:21070,trusting,"['grateful', ' proud', ' content']",grateful,
hit:110_conv:220,ashamed,"['ashamed', 'anxious', 'guilty']",ashamed,1.0
hit:12355_conv:24711,trusting,"['grateful', ' anxious', ' hopeful']",grateful,
hit:2764_conv:5529,impressed,"['impressed', ' joyful', ' grateful']",impressed,1.0
hit:7365_conv:14730,prepared,"['content', ' hopeful', ' caring']",content,
hit:7816_conv:15632,devastated,"['worried', 'sad', 'angry']",worried,
hit:9412_conv:18824,annoyed,"['angry', 'sad', 'frustrated']",angry,
hit:1177_conv:2354,lonely,"['lonely', 'sad', ' hopeful']",lonely,1.0
hit:11835_conv:23671,content,"['excited', 'hopeful', 'content']",excited,3.0
hit:2110_conv:4221,annoyed,"['annoyed', ' disappointed', ' frustrated']",annoyed,1.0
hit:3890_conv:7781,content,"['content', ' hopeful', ' grateful']",content,1.0
hit:6667_conv:13334,jealous,"['disappointed', 'sad', 'jealous']",disappointed,3.0
hit:6939_conv:13878,content,"['excited', 'jealous', 'hopeful']",excited,
hit:9826_conv:19652,afraid,"['anxious', 'nervous', 'afraid']",anxious,3.0
hit:3171_conv:6342,anxious,"['anxious', ' hopeful', ' caring']",anxious,1.0
hit:3848_conv:7696,embarrassed,"['anxious', ' hopeful', ' worried']",anxious,
hit:5045_conv:10090,anxious,"['excited', ' content', ' grateful']",excited,
hit:5116_conv:10233,caring,"['concerned', 'sympathetic', 'proud']",concerned,
hit:5664_conv:11328,confident,"['proud', ' hopeful', ' content']",proud,
hit:5777_conv:11555,afraid,"['afraid', 'anxious', 'concerned']",afraid,1.0
hit:9275_conv:18550,sad,"['devastated', ' annoyed', ' anxious']",devastated,
hit:10471_conv:20942,apprehensive,"['nervous', 'anxious', 'glad']",nervous,
hit:11240_conv:22480,disappointed,"['disappointed', 'sad', 'frustrated']",disappointed,1.0
hit:12088_conv:24177,annoyed,"['annoyed', 'frustrated', 'confused']",annoyed,1.0
hit:14_conv:28,sentimental,"['excited', 'hopeful', 'proud']",excited,
hit:4450_conv:8901,excited,"['hopeful', ' excited', ' anxious']",hopeful,2.0
hit:9264_conv:18529,surprised,"['terrified', ' shocked', ' afraid']",terrified,
hit:9275_conv:18550,sad,"['sad', 'apologetic', 'compassionate']",sad,1.0
hit:11294_conv:22588,anxious,"['excited', ' relieved', ' grateful']",excited,
hit:1448_conv:2896,content,"['proud', ' hopeful', ' grateful']",proud,
hit:3957_conv:7914,terrified,"['anxious', 'afraid', 'hopeful']",anxious,
hit:6948_conv:13896,disappointed,"['disappointed', 'angry', 'surprised']",disappointed,1.0
hit:7589_conv:15178,prepared,"['excited', ' hopeful', ' grateful']",excited,
hit:7898_conv:15796,content,"['excited', ' grateful', ' hopeful']",excited,
hit:9726_conv:19452,furious,"['angry', ' annoyed', ' frustrated']",angry,
hit:11143_conv:22287,grateful,"['grateful', 'excited', 'caring']",grateful,1.0
hit:1477_conv:2954,grateful,"['grateful', 'excited', 'proud']",grateful,1.0
hit:300_conv:600,prepared,"['excited', 'impressed', 'hopeful']",excited,
hit:4547_conv:9094,excited,"['excited', ' hopeful', ' relieved']",excited,1.0
hit:5001_conv:10003,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:6505_conv:13011,apprehensive,"['skeptical', ' cautious', ' doubtful']",skeptical,
hit:7018_conv:14036,prepared,"['excited', ' happy', ' hopeful']",excited,
hit:9726_conv:19452,furious,"['disappointed', ' hopeful', ' confident']",disappointed,
hit:9756_conv:19512,proud,"['proud', ' grateful', ' hopeful']",proud,1.0
hit:10210_conv:20421,sad,"['lonely', 'sad', 'hopeful']",lonely,2.0
hit:11569_conv:23138,embarrassed,"['frustrated', 'surprised', 'relieved']",frustrated,
hit:1510_conv:3021,content,"['embarrassed', 'sad', 'content']",embarrassed,3.0
hit:2068_conv:4136,anxious,"['anxious', 'prepared', 'confident']",anxious,1.0
hit:3236_conv:6473,terrified,"['disgusted', 'anxious', 'surprised']",disgusted,
hit:4547_conv:9094,excited,"['excited', 'grateful', 'hopeful']",excited,1.0
hit:5796_conv:11592,excited,"['excited', 'nostalgic', 'hopeful']",excited,1.0
hit:6603_conv:13207,annoyed,"['angry', 'frustrated', 'annoyed']",angry,3.0
hit:10615_conv:21230,sentimental,"['devastated', ' sad', ' sympathetic']",devastated,
hit:11955_conv:23910,nostalgic,"['disappointed', 'sad', 'hopeful']",disappointed,
hit:1435_conv:2871,prepared,"['embarrassed', 'anxious', 'worried']",embarrassed,
hit:3236_conv:6473,terrified,"['disgusted', 'terrified', 'anxious']",disgusted,2.0
hit:5730_conv:11461,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:702_conv:1404,disappointed,"['disappointed', 'sad', 'guilty']",disappointed,1.0
hit:8032_conv:16065,angry,"['angry', 'annoyed', 'grateful']",angry,1.0
hit:8180_conv:16360,devastated,"['devastated', 'sad', 'frustrated']",devastated,1.0
hit:11617_conv:23234,devastated,"['worried', 'disappointed', 'anxious']",worried,
hit:5444_conv:10889,joyful,"['excited', 'content', 'annoyed']",excited,
hit:5922_conv:11844,anticipating,"['excited', ' anticipating', ' curious']",excited,2.0
hit:6253_conv:12506,excited,"['excited', 'anxious', 'confident']",excited,1.0
hit:6558_conv:13117,sentimental,"['nostalgic', 'hopeful', 'content']",nostalgic,
hit:7011_conv:14023,impressed,"['excited', ' proud', ' impressed']",excited,3.0
hit:702_conv:1404,disappointed,"['annoyed', ' embarrassed', ' anxious']",annoyed,
hit:7926_conv:15852,annoyed,"['annoyed', 'angry', 'disappointed']",annoyed,1.0
hit:10899_conv:21798,excited,"['excited', ' hopeful', ' overwhelmed']",excited,1.0
hit:2203_conv:4406,disappointed,"['disappointed', ' hopeful', ' proud']",disappointed,1.0
hit:4462_conv:8925,sad,"['sad', 'excited', 'anticipating']",sad,1.0
hit:5139_conv:10279,annoyed,"['angry', 'annoyed', 'sad']",angry,2.0
hit:5582_conv:11165,afraid,"['proud', 'terrified', 'excited']",proud,
hit:5922_conv:11844,anticipating,"['excited', ' hopeful', ' disappointed']",excited,
hit:7085_conv:14170,anticipating,"['excited', 'prepared', 'hopeful']",excited,
hit:9823_conv:19647,surprised,"['excited', 'surprised', 'content']",excited,2.0
hit:11051_conv:22103,ashamed,"['guilty', ' upset', ' empathetic']",guilty,
hit:3351_conv:6702,content,"['excited', ' hopeful', ' content']",excited,3.0
hit:342_conv:685,ashamed,"['disappointed', 'frustrated', 'hopeful']",disappointed,
hit:6125_conv:12250,terrified,"['relieved', 'hopeful', 'grateful']",relieved,
hit:9175_conv:18350,jealous,"['jealous', ' content', ' annoyed']",jealous,1.0
hit:9477_conv:18955,anticipating,"['anxious', 'hopeful', 'sad']",anxious,
hit:9823_conv:19647,surprised,"['happy', ' grateful', ' hopeful']",happy,
hit:1717_conv:3435,surprised,"['excited', ' grateful', ' joyful']",excited,
hit:3205_conv:6411,joyful,"['happy', 'content', 'excited']",happy,
hit:3628_conv:7256,sad,"['sad', 'surprised', 'concerned']",sad,1.0
hit:4141_conv:8283,terrified,"['surprised', ' terrified', ' annoyed']",surprised,2.0
hit:5543_conv:11087,caring,"['content', 'peaceful', 'happy']",content,
hit:8405_conv:16811,grateful,"['grateful', ' proud', ' content']",grateful,1.0
hit:9239_conv:18478,surprised,"['sad', ' nostalgic', ' disappointed']",sad,
hit:9360_conv:18721,devastated,"['devastated', ' sad', ' nostalgic']",devastated,1.0
hit:10494_conv:20989,confident,"['hopeful', 'excited', 'proud']",hopeful,
hit:3303_conv:6607,surprised,"['surprised', ' grateful', ' happy']",surprised,1.0
hit:4400_conv:8800,proud,"['excited', ' joyful', ' amused']",excited,
hit:5543_conv:11087,caring,"['content', 'lonely', 'hopeful']",content,
hit:5715_conv:11431,jealous,"['disappointed', 'sad', 'jealous']",disappointed,3.0
hit:6981_conv:13963,afraid,"['afraid', 'angry', 'sad']",afraid,1.0
hit:8880_conv:17761,lonely,"['lonely', 'grateful', 'hopeful']",lonely,1.0
hit:9475_conv:18951,joyful,"['proud', 'hopeful', 'grateful']",proud,
hit:10552_conv:21104,apprehensive,"['afraid', 'anxious', 'relieved']",afraid,
hit:10691_conv:21383,ashamed,"['embarrassed', 'anxious', 'hopeful']",embarrassed,
hit:1500_conv:3001,prepared,"['proud', 'confident', 'content']",proud,
hit:3303_conv:6607,surprised,"['happy', ' grateful', ' included']",happy,
hit:7976_conv:15953,embarrassed,"['embarrassed', 'relieved', 'amused']",embarrassed,1.0
hit:8269_conv:16539,prepared,"['anxious', 'hopeful', 'content']",anxious,
hit:876_conv:1752,angry,"['angry', 'sad', 'frustrated']",angry,1.0
hit:10613_conv:21227,caring,"['grateful', ' proud', ' sad']",grateful,
hit:2848_conv:5697,embarrassed,"['embarrassed', 'surprised', 'awkward']",embarrassed,1.0
hit:3540_conv:7080,jealous,"['jealous', ' envious', ' insecure']",jealous,1.0
hit:5984_conv:11968,excited,"['excited', 'hopeful', 'joyful']",excited,1.0
hit:6815_conv:13631,disgusted,"['disgusted', 'annoyed', 'angry']",disgusted,1.0
hit:8989_conv:17979,hopeful,"['excited', 'confident', 'hopeful']",excited,3.0
hit:9251_conv:18502,nostalgic,"['nostalgic', 'content', 'hopeful']",nostalgic,1.0
hit:10239_conv:20478,jealous,"['jealous', 'disappointed', 'hopeful']",jealous,1.0
hit:10799_conv:21598,terrified,"['anxious', ' hopeful', ' proud']",anxious,
hit:11957_conv:23914,furious,"['angry', ' worried', ' annoyed']",angry,
hit:4564_conv:9128,proud,"['proud', 'happy', 'impressed']",proud,1.0
hit:5850_conv:11701,jealous,"['surprised', 'angry', 'disappointed']",surprised,
hit:7233_conv:14466,annoyed,"['disgusted', 'annoyed', 'angry']",disgusted,2.0
hit:7342_conv:14685,angry,"['annoyed', 'angry', 'sad']",annoyed,2.0
hit:8989_conv:17979,hopeful,"['excited', ' hopeful', ' curious']",excited,2.0
hit:10662_conv:21324,hopeful,"['excited', 'hopeful', 'anxious']",excited,2.0
hit:1394_conv:2789,anticipating,"['anxious', 'afraid', 'relieved']",anxious,
hit:2549_conv:5099,proud,"['proud', 'excited', 'hopeful']",proud,1.0
hit:3008_conv:6016,caring,"['compassionate', 'sad', 'grateful']",compassionate,
hit:4281_conv:8562,lonely,"['devastated', ' lonely', ' hopeful']",devastated,2.0
hit:5940_conv:11881,proud,"['grateful', 'excited', 'content']",grateful,
hit:6539_conv:13078,grateful,"['grateful', 'hopeful', 'excited']",grateful,1.0
