conv_id,original_labels,top_3_emotions_responses,top_1_emotion_responses,position_of_original_label
hit:0_conv:1,sentimental,"['sad', ' nostalgic', ' lonely']",sad,
hit:11801_conv:23602,anxious,"['anxious', ' hopeful', ' caring']",anxious,1.0
hit:6900_conv:13800,anticipating,"['excited', ' hopeful', ' proud']",excited,
hit:9770_conv:19540,surprised,"['happy', 'content', 'grateful']",happy,
hit:2931_conv:5863,grateful,"['grateful', 'thankful', 'annoyed']",grateful,1.0
hit:5974_conv:11948,anticipating,"['hopeful', 'anxious', 'excited']",hopeful,
hit:6510_conv:13021,embarrassed,"['embarrassed', 'sad', ' hopeful']",embarrassed,1.0
hit:8905_conv:17810,anticipating,"['annoyed', ' anxious', ' hopeful']",annoyed,
hit:9190_conv:18381,embarrassed,"['surprised', ' embarrassed', ' apologetic']",surprised,2.0
hit:5974_conv:11948,anticipating,"['hopeful', 'excited', 'anticipating']",hopeful,3.0
hit:6662_conv:13324,anxious,"['anxious', 'sad', 'hopeful']",anxious,1.0
hit:7741_conv:15482,afraid,"['afraid', ' grateful', ' anxious']",afraid,1.0
hit:8649_conv:17299,disgusted,"['disgusted', ' embarrassed', ' hopeful']",disgusted,1.0
hit:9838_conv:19677,disgusted,"['disgusted', 'annoyed', 'surprised']",disgusted,1.0
hit:10014_conv:20028,disappointed,"['disappointed', ' sad', ' anxious']",disappointed,1.0
hit:6922_conv:13844,terrified,"['afraid', ' shocked', ' angry']",afraid,
hit:7790_conv:15581,anxious,"['anxious', 'nervous', 'hopeful']",anxious,1.0
hit:787_conv:1575,furious,"['annoyed', ' disappointed', ' envious']",annoyed,
hit:3963_conv:7926,jealous,"['envious', ' longing', ' hopeful']",envious,
hit:5223_conv:10447,proud,"['proud', ' grateful', ' joyful']",proud,1.0
hit:6922_conv:13844,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:7359_conv:14719,disgusted,"['surprised', 'anxious', 'proud']",surprised,
hit:9924_conv:19849,terrified,"['afraid', 'surprised', 'anxious']",afraid,
hit:11817_conv:23634,sad,"['sad', ' disappointed', ' empathetic']",sad,1.0
hit:2724_conv:5449,apprehensive,"['disappointed', ' sad', ' anxious']",disappointed,
hit:7524_conv:15049,hopeful,"['hopeful', 'excited', 'sad']",hopeful,1.0
hit:9466_conv:18933,annoyed,"['annoyed', ' annoyed', ' worried']",annoyed,1.0
hit:9924_conv:19849,terrified,"['surprised', ' anxious', ' concerned']",surprised,
hit:10901_conv:21803,nostalgic,"['nostalgic', 'content', 'hopeful']",nostalgic,1.0
hit:1314_conv:2628,joyful,"['excited', 'happy', 'content']",excited,
hit:1538_conv:3076,anxious,"['anxious', 'relieved', 'hopeful']",anxious,1.0
hit:8696_conv:17392,nostalgic,"['nostalgic', ' content', ' annoyed']",nostalgic,1.0
hit:12276_conv:24552,afraid,"['afraid', 'surprised', 'anxious']",afraid,1.0
hit:1487_conv:2974,grateful,"['grateful', 'excited', 'content']",grateful,1.0
hit:2442_conv:4884,content,"['happy', ' content', ' excited']",happy,2.0
hit:4573_conv:9146,surprised,"['surprised', 'excited', 'proud']",surprised,1.0
hit:4955_conv:9910,hopeful,"['anxious', ' terrified', ' hopeful']",anxious,3.0
hit:11119_conv:22238,trusting,"['anxious', ' hopeful', ' trusting']",anxious,3.0
hit:12276_conv:24552,afraid,"['excited', 'surprised', 'anxious']",excited,
hit:2365_conv:4731,confident,"['excited', ' hopeful', ' proud']",excited,
hit:3749_conv:7499,lonely,"['lonely', 'disappointed', 'hopeful']",lonely,1.0
hit:9996_conv:19992,excited,"['excited', 'hopeful', 'surprised']",excited,1.0
