conv_id,Original_Labels,Top_3_Emotion_Pred,1st_Emotion_Pred,2nd_Emotion_Pred,3rd_Emotion_Pred,Pred_Emo_Position
hit:0_conv:1,sentimental,"['sad', ' nostalgic', ' lonely']",sad,nostalgic,lonely,
hit:11801_conv:23602,anxious,"['anxious', 'afraid', 'hopeful']",anxious,afraid,hopeful,1.0
hit:6510_conv:13021,embarrassed,"['embarrassed', ' hopeful', ' nostalgic']",embarrassed,hopeful,nostalgic,1.0
hit:6900_conv:13800,anticipating,"['excited', 'hopeful', 'proud']",excited,hopeful,proud,
hit:8905_conv:17810,anticipating,"['annoyed', 'anxious', 'hopeful']",annoyed,anxious,hopeful,
hit:10014_conv:20028,disappointed,"['disappointed', 'anxious', 'sad']",disappointed,anxious,sad,1.0
hit:5974_conv:11948,anticipating,"['hopeful', 'excited', 'anxious']",hopeful,excited,anxious,
hit:7790_conv:15581,anxious,"['anxious', 'hopeful', 'afraid']",anxious,hopeful,afraid,1.0
hit:8649_conv:17299,disgusted,"['disgusted', ' hopeful', ' embarrassed']",disgusted,hopeful,embarrassed,1.0
hit:9190_conv:18381,embarrassed,"['embarrassed', 'surprised', 'anxious']",embarrassed,surprised,anxious,1.0
hit:9838_conv:19677,disgusted,"['angry', ' disgusted', ' content']",angry,disgusted,content,2.0
hit:5223_conv:10447,proud,"['proud', ' grateful', ' joyful']",proud,grateful,joyful,1.0
hit:6922_conv:13844,terrified,"['afraid', 'terrified', 'angry']",afraid,terrified,angry,2.0
hit:7359_conv:14719,disgusted,"['anxious', ' proud', ' grateful']",anxious,proud,grateful,
hit:9924_conv:19849,terrified,"['afraid', 'anxious', 'surprised']",afraid,anxious,surprised,
hit:10901_conv:21803,nostalgic,"['nostalgic', 'content', 'hopeful']",nostalgic,content,hopeful,1.0
hit:11817_conv:23634,sad,"['sad', ' disappointed', ' nostalgic']",sad,disappointed,nostalgic,1.0
hit:2724_conv:5449,apprehensive,"['disappointed', 'sad', 'anxious']",disappointed,sad,anxious,
hit:7524_conv:15049,hopeful,"['hopeful', 'excited', 'sad']",hopeful,excited,sad,1.0
hit:8696_conv:17392,nostalgic,"['nostalgic', ' content', ' annoyed']",nostalgic,content,annoyed,1.0
hit:11119_conv:22238,trusting,"['trusting', 'sentimental', 'anxious']",trusting,sentimental,anxious,1.0
hit:12276_conv:24552,afraid,"['afraid', 'terrified', 'anxious']",afraid,terrified,anxious,1.0
hit:1487_conv:2974,grateful,"['grateful', 'excited', 'content']",grateful,excited,content,1.0
hit:4573_conv:9146,surprised,"['surprised', 'excited', 'grateful']",surprised,excited,grateful,1.0
hit:4955_conv:9910,hopeful,"['anxious', ' terrified', ' hopeful']",anxious,terrified,hopeful,3.0
hit:2365_conv:4731,confident,"['excited', ' hopeful', ' proud']",excited,hopeful,proud,
hit:3749_conv:7499,lonely,"['lonely', ' hopeful', ' disappointed']",lonely,hopeful,disappointed,1.0
hit:7252_conv:14504,joyful,"['excited', 'hopeful', 'anxious']",excited,hopeful,anxious,
hit:7548_conv:15096,guilty,"['ashamed', 'sad', 'hopeful']",ashamed,sad,hopeful,
hit:10548_conv:21097,faithful,"['hopeful', ' excited', ' proud']",hopeful,excited,proud,
hit:11471_conv:22943,jealous,"['disappointed', 'hopeful', 'confident']",disappointed,hopeful,confident,
hit:1675_conv:3350,embarrassed,"['embarrassed', 'anxious', 'anticipating']",embarrassed,anxious,anticipating,1.0
hit:6526_conv:13053,surprised,"['disappointed', 'surprised', 'sad']",disappointed,surprised,sad,2.0
hit:7580_conv:15161,proud,"['excited', 'content', 'hopeful']",excited,content,hopeful,
hit:110_conv:220,ashamed,"['ashamed', 'anxious', 'guilty']",ashamed,anxious,guilty,1.0
hit:12355_conv:24711,trusting,"['grateful', ' anxious', ' hopeful']",grateful,anxious,hopeful,
hit:2764_conv:5529,impressed,"['impressed', ' joyful', ' grateful']",impressed,joyful,grateful,1.0
hit:7365_conv:14730,prepared,"['content', ' hopeful', ' caring']",content,hopeful,caring,
hit:1177_conv:2354,lonely,"['lonely', 'sad', ' hopeful']",lonely,sad,hopeful,1.0
hit:11835_conv:23671,content,"['excited', 'hopeful', 'content']",excited,hopeful,content,3.0
hit:3890_conv:7781,content,"['content', ' hopeful', ' grateful']",content,hopeful,grateful,1.0
hit:6667_conv:13334,jealous,"['disappointed', 'sad', 'jealous']",disappointed,sad,jealous,3.0
hit:6939_conv:13878,content,"['excited', 'jealous', 'hopeful']",excited,jealous,hopeful,
hit:3171_conv:6342,anxious,"['anxious', ' hopeful', ' caring']",anxious,hopeful,caring,1.0
hit:5045_conv:10090,anxious,"['excited', ' content', ' grateful']",excited,content,grateful,
hit:5664_conv:11328,confident,"['proud', ' hopeful', ' content']",proud,hopeful,content,
hit:9275_conv:18550,sad,"['devastated', ' annoyed', ' anxious']",devastated,annoyed,anxious,
hit:14_conv:28,sentimental,"['excited', 'hopeful', 'proud']",excited,hopeful,proud,
hit:4450_conv:8901,excited,"['hopeful', ' excited', ' anxious']",hopeful,excited,anxious,2.0
hit:1448_conv:2896,content,"['proud', ' hopeful', ' grateful']",proud,hopeful,grateful,
hit:3957_conv:7914,terrified,"['anxious', 'afraid', 'hopeful']",anxious,afraid,hopeful,
hit:6948_conv:13896,disappointed,"['disappointed', 'angry', 'surprised']",disappointed,angry,surprised,1.0
hit:7589_conv:15178,prepared,"['excited', ' hopeful', ' grateful']",excited,hopeful,grateful,
hit:7898_conv:15796,content,"['excited', ' grateful', ' hopeful']",excited,grateful,hopeful,
hit:11143_conv:22287,grateful,"['grateful', 'excited', 'caring']",grateful,excited,caring,1.0
hit:1477_conv:2954,grateful,"['grateful', 'excited', 'proud']",grateful,excited,proud,1.0
hit:300_conv:600,prepared,"['excited', 'impressed', 'hopeful']",excited,impressed,hopeful,
hit:5001_conv:10003,proud,"['proud', 'excited', 'hopeful']",proud,excited,hopeful,1.0
hit:9756_conv:19512,proud,"['proud', ' grateful', ' hopeful']",proud,grateful,hopeful,1.0
hit:10210_conv:20421,sad,"['lonely', 'sad', 'hopeful']",lonely,sad,hopeful,2.0
hit:1510_conv:3021,content,"['embarrassed', 'sad', 'content']",embarrassed,sad,content,3.0
hit:2068_conv:4136,anxious,"['anxious', 'prepared', 'confident']",anxious,prepared,confident,1.0
